state,ev_sales_quantity
Uttar Pradesh,732074.0
Maharashtra,401535.0
Karnataka,315498.0
Delhi,268538.0
Rajasthan,228573.0
Bihar,213465.0
Tamil Nadu,206902.0
Gujarat,176713.0
Assam,151917.0
Kerala,133246.0
Madhya Pradesh,133182.0
Odisha,86823.0
Haryana,85250.0
West Bengal,78112.0
Andhra Pradesh,77356.0
Chhattisgarh,75275.0
Uttarakhand,57606.0
Punjab,49285.0
Jharkhand,47871.0
Tripura,18346.0
Goa,17382.0
Jammu and Kashmir,16840.0
Chandigarh,11453.0
Puducherry,5139.0
Himachal Pradesh,2886.0
Manipur,1284.0
DNH and DD,431.0
Mizoram,235.0
Meghalaya,208.0
Andaman & Nicobar Island,202.0
Ladakh,88.0
Nagaland,52.0
Arunachal Pradesh,40.0
Sikkim,4.0
